カテゴリ	テーマ名	銘柄コード	銘柄名	寄与度
社会資本	鉄道車両	7102	日本車輌製造	
社会資本	鉄道車両	7122	近畿車輛	
社会資本	鉄道車両	7213	レシップホールディングス	
社会資本	鉄道車両	7677	ヤシマキザイ	
社会資本	鉄道車両	7760	IMV	
社会資本	鉄道車両	8081	カナデン	
社会資本	鉄道車両	8425	みずほリース	
社会資本	鉄道車両	9107	川崎汽船	
社会資本	電気設備工事	1434	JESCOホールディングス	
社会資本	電気設備工事	1930	北陸電気工事	
社会資本	電気設備工事	1938	日本リーテック	
社会資本	電気設備工事	1942	関電工	
社会資本	電気設備工事	1944	きんでん	
社会資本	電気設備工事	1948	弘電社	
社会資本	電気設備工事	1949	住友電設	
社会資本	電気設備工事	1950	日本電設工業	
社会資本	電気設備工事	1951	エクシオグループ	
社会資本	電気設備工事	1965	テクノ菱和	
社会資本	電気設備工事	1982	日比谷総合設備	
社会資本	電気設備工事	1997	暁飯島工業	
社会資本	電気設備工事	253A	ETSグループ	
社会資本	電気設備工事	7619	田中商事	
社会資本	電気設備工事	9699	ニシオホールディングス	
社会資本	電力販売契約(PPA)	1436	グリーンエナジー&カンパニー	
社会資本	電力販売契約(PPA)	1711	SDSホールディングス	
