カテゴリ	テーマ名	銘柄コード	銘柄名	寄与度
社会資本	高速道路	1726	ビーアールホールディングス	
社会資本	高速道路	1762	高松コンストラクショングループ	
社会資本	高速道路	1768	ソネック	
社会資本	高速道路	1776	三井住建道路	
社会資本	高速道路	1786	オリエンタル白石	
社会資本	高速道路	1793	大本組	
社会資本	高速道路	1798	守谷商会	
社会資本	高速道路	1801	大成建設	
社会資本	高速道路	1802	大林組	
社会資本	高速道路	1803	清水建設	
社会資本	高速道路	1807	佐藤渡辺	
社会資本	高速道路	1812	鹿島	
社会資本	高速道路	1813	不動テトラ	
社会資本	高速道路	1815	鉄建建設	
社会資本	高速道路	1822	大豊建設	
社会資本	高速道路	1826	佐田建設	
社会資本	高速道路	1848	富士ピー・エス	
社会資本	高速道路	1853	森組	
社会資本	高速道路	1860	戸田建設	
社会資本	高速道路	1861	熊谷組	
社会資本	高速道路	1869	名工建設	
社会資本	高速道路	1870	矢作建設工業	
社会資本	高速道路	1871	ピーエス・コンストラクション	
社会資本	高速道路	1882	東亜道路工業	
社会資本	高速道路	1888	若築建設	
社会資本	高速道路	1898	世紀東急工業	
社会資本	高速道路	1905	テノックス	
社会資本	高速道路	1929	日特建設	
社会資本	高速道路	1938	日本リーテック	
社会資本	高速道路	1939	四電工	
社会資本	高速道路	1941	中電工	
社会資本	高速道路	1942	関電工	
社会資本	高速道路	1950	日本電設工業	
社会資本	高速道路	1951	エクシオグループ	
社会資本	高速道路	3420	ケー・エフ・シー	
社会資本	高速道路	3431	宮地エンジニアリンググループ	
社会資本	高速道路	407A	UNICONホールディングス	
社会資本	高速道路	4212	積水樹脂	
社会資本	高速道路	4275	カーリット	
社会資本	高速道路	4625	アトミクス	
社会資本	高速道路	5079	ノバック	
社会資本	高速道路	5262	日本ヒューム	
社会資本	高速道路	5279	日本興業	
社会資本	高速道路	5282	ジオスター	
社会資本	高速道路	5284	ヤマウホールディングス	
社会資本	高速道路	5287	イトーヨーギョー	
社会資本	高速道路	5658	日亜鋼業	
社会資本	高速道路	5660	神鋼鋼線工業	
社会資本	高速道路	5911	横河ブリッジホールディングス	
社会資本	高速道路	5918	瀧上工業	
社会資本	高速道路	5922	那須電機鉄工	
社会資本	高速道路	5981	東京製綱	
社会資本	高速道路	6317	北川鉄工所	
社会資本	高速道路	6454	マックス	
社会資本	高速道路	6496	中北製作所	
社会資本	高速道路	6647	森尾電機	
社会資本	高速道路	6748	星和電機	
社会資本	高速道路	6775	TBグループ	
社会資本	高速道路	6797	名古屋電機工業	
社会資本	高速道路	6853	共和電業	
社会資本	高速道路	7464	セフテック	
社会資本	高速道路	7677	ヤシマキザイ	
社会資本	高速道路	8104	クワザワホールディングス	
社会資本	高速道路	9033	広島電鉄	
社会資本	高速道路	9142	九州旅客鉄道	
社会資本	高速道路	9249	日本エコシステム	
社会資本	高速道路	9632	スバル興業	
社会資本	高速道路	9716	乃村工藝社	
社会資本	高速道路	9895	コンセック	
社会資本	港湾運送	2117	ウェルネオシュガー	
社会資本	港湾運送	8085	ナラサキ産業	
社会資本	港湾運送	9065	山九	
社会資本	港湾運送	9068	丸全昭和運輸	
社会資本	港湾運送	9073	京極運輸商事	
社会資本	港湾運送	9107	川崎汽船	
社会資本	港湾運送	9147	NIPPON EXPRESSホールディングス	
社会資本	港湾運送	9301	三菱倉庫	
社会資本	港湾運送	9302	三井倉庫ホールディングス	
社会資本	港湾運送	9303	住友倉庫	
社会資本	港湾運送	9306	東陽倉庫	
社会資本	港湾運送	9310	日本トランスシティ	
社会資本	港湾運送	9322	川西倉庫	
社会資本	港湾運送	9351	東洋埠頭	
社会資本	港湾運送	9353	櫻島埠頭	
社会資本	港湾運送	9355	リンコーコーポレーション	
社会資本	港湾運送	9357	名港海運	
社会資本	港湾運送	9359	伊勢湾海運	
社会資本	港湾運送	9362	兵機海運	
社会資本	港湾運送	9363	大運	
社会資本	港湾運送	9364	上組	
社会資本	港湾運送	9365	トレーディア	
社会資本	港湾運送	9367	大東港運	
社会資本	港湾運送	9380	東海運	
社会資本	コンクリート	1401	エムビーエス	
社会資本	コンクリート	1716	第一カッター興業	
社会資本	コンクリート	1720	東急建設	
社会資本	コンクリート	1787	ナカボーテック	
社会資本	コンクリート	1801	大成建設	
社会資本	コンクリート	1867	植木組	
社会資本	コンクリート	1885	東亜建設工業	
社会資本	コンクリート	1905	テノックス	
社会資本	コンクリート	1994	高橋カーテンウォール工業	
社会資本	コンクリート	1999	サイタホールディングス	
社会資本	コンクリート	3423	エスイー	
社会資本	コンクリート	3435	サンコーテクノ	
社会資本	コンクリート	4228	積水化成品工業	
社会資本	コンクリート	4251	恵和	
社会資本	コンクリート	5075	アップコン	
社会資本	コンクリート	5232	住友大阪セメント	
社会資本	コンクリート	5237	ノザワ	
社会資本	コンクリート	5262	日本ヒューム	
社会資本	コンクリート	5268	旭コンクリート工業	
社会資本	コンクリート	5269	日本コンクリート工業	
社会資本	コンクリート	5271	トーヨーアサノ	
社会資本	コンクリート	5273	三谷セキサン	
社会資本	コンクリート	5279	日本興業	
社会資本	コンクリート	5280	ヨシコン	
社会資本	コンクリート	5282	ジオスター	
社会資本	コンクリート	5283	高見澤	
社会資本	コンクリート	5284	ヤマウホールディングス	
社会資本	コンクリート	5285	ヤマックス	
社会資本	コンクリート	5287	イトーヨーギョー	
社会資本	コンクリート	5288	アジアパイルホールディングス	
社会資本	コンクリート	5290	ベルテクスコーポレーション	
社会資本	コンクリート	5388	クニミネ工業	
社会資本	コンクリート	5446	北越メタル	
社会資本	コンクリート	5950	日本パワーファスニング	
社会資本	コンクリート	5973	トーアミ	
社会資本	コンクリート	6306	日工	
社会資本	コンクリート	6317	北川鉄工所	
社会資本	コンクリート	7226	極東開発工業	
社会資本	コンクリート	7856	萩原工業	
社会資本	コンクリート	9170	成友興業	
社会資本	コンクリート	9504	中国電力	
社会資本	コンクリート	9767	日建工学	
社会資本	コンクリート	9906	藤井産業	
社会資本	ゴミ処理	1718	美樹工業	
社会資本	ゴミ処理	1822	大豊建設	
社会資本	ゴミ処理	5232	住友大阪セメント	
社会資本	ゴミ処理	5233	太平洋セメント	
社会資本	ゴミ処理	5542	新報国マテリアル	
社会資本	ゴミ処理	5563	新日本電工	
社会資本	ゴミ処理	5603	虹技	
社会資本	ゴミ処理	5698	エンビプロ・ホールディングス	
社会資本	ゴミ処理	5900	ダイケン	
社会資本	ゴミ処理	6361	荏原	
社会資本	ゴミ処理	6455	モリタホールディングス	
社会資本	ゴミ処理	6564	ミダックホールディングス	
社会資本	ゴミ処理	6566	要興業	
社会資本	ゴミ処理	7224	新明和工業	
社会資本	ゴミ処理	7226	極東開発工業	
社会資本	災害復旧	1443	技研ホールディングス	
社会資本	災害復旧	1771	日本乾溜工業	
社会資本	災害復旧	1799	第一建設工業	
社会資本	災害復旧	1810	松井建設	
社会資本	災害復旧	1826	佐田建設	
社会資本	災害復旧	1853	森組	
社会資本	災害復旧	1861	熊谷組	
社会資本	災害復旧	1892	徳倉建設	
社会資本	災害復旧	1926	ライト工業	
社会資本	災害復旧	1929	日特建設	
社会資本	災害復旧	1999	サイタホールディングス	
社会資本	災害復旧	272A	グリーンクロスホールディングス	
社会資本	災害復旧	3302	帝国繊維	
社会資本	災害復旧	3423	エスイー	
社会資本	災害復旧	4642	オリジナル設計	
社会資本	災害復旧	4673	川崎地質	
社会資本	災害復旧	4707	キタック	
社会資本	災害復旧	5011	ニチレキグループ	
社会資本	災害復旧	5284	ヤマウホールディングス	
社会資本	災害復旧	5285	ヤマックス	
社会資本	災害復旧	5658	日亜鋼業	
社会資本	災害復旧	5959	岡部	
社会資本	災害復旧	5973	トーアミ	
社会資本	災害復旧	6091	ウエスコホールディングス	
社会資本	災害復旧	6171	土木管理総合試験所	
社会資本	災害復旧	6294	オカダアイヨン	
社会資本	災害復旧	6351	鶴見製作所	
社会資本	災害復旧	6363	酉島製作所	
社会資本	災害復旧	7417	南陽	
社会資本	災害復旧	7856	萩原工業	
社会資本	災害復旧	8046	丸藤シートパイル	
社会資本	災害復旧	9248	人・夢・技術グループ	
社会資本	災害復旧	9639	三協フロンテア	
社会資本	災害復旧	9647	協和コンサルタンツ	
社会資本	災害復旧	9663	ナガワ	
社会資本	災害復旧	9678	カナモト	
社会資本	災害復旧	9699	ニシオホールディングス	
社会資本	災害復旧	9755	応用地質	
社会資本	災害復旧	9765	オオバ	
社会資本	災害復旧	9767	日建工学	
社会資本	私鉄	1841	サンユー建設	
社会資本	私鉄	1914	日本基礎技術	
社会資本	私鉄	4316	ビーマップ	
社会資本	私鉄	4783	NCD	
社会資本	私鉄	6505	東洋電機製造	
社会資本	私鉄	7368	表示灯	
社会資本	私鉄	7677	ヤシマキザイ	
社会資本	私鉄	9001	東武鉄道	
社会資本	私鉄	9007	小田急電鉄	
社会資本	私鉄	9009	京成電鉄	
社会資本	私鉄	9041	近鉄グループホールディングス	
社会資本	私鉄	9042	阪急阪神ホールディングス	
社会資本	私鉄	9044	南海電気鉄道	
社会資本	私鉄	9045	京阪ホールディングス	
社会資本	私鉄	9048	名古屋鉄道	
社会資本	消防関連	1909	日本ドライケミカル	
社会資本	消防関連	3001	片倉工業	
社会資本	消防関連	3201	ニッケ	
社会資本	消防関連	3302	帝国繊維	
社会資本	消防関連	3355	クリヤマホールディングス	
社会資本	消防関連	3449	テクノフレックス	
社会資本	消防関連	3526	芦森工業	
社会資本	消防関連	5189	櫻護謨	
社会資本	消防関連	6316	丸山製作所	
社会資本	消防関連	6455	モリタホールディングス	
社会資本	消防関連	6744	能美防災	
社会資本	消防関連	6745	ホーチキ	
社会資本	消防関連	6870	日本フェンオール	
社会資本	新幹線	1726	ビーアールホールディングス	
社会資本	新幹線	1813	不動テトラ	
社会資本	新幹線	1815	鉄建建設	
社会資本	新幹線	1826	佐田建設	
社会資本	新幹線	1832	北海電工	
社会資本	新幹線	1835	東鉄工業	
社会資本	新幹線	1861	熊谷組	
社会資本	新幹線	1867	植木組	
社会資本	新幹線	1869	名工建設	
社会資本	新幹線	1882	東亜道路工業	
社会資本	新幹線	1905	テノックス	
社会資本	新幹線	1938	日本リーテック	
社会資本	新幹線	1950	日本電設工業	
社会資本	新幹線	2445	タカミヤ	
社会資本	新幹線	3116	トヨタ紡織	
社会資本	新幹線	3646	駅探	
社会資本	新幹線	4224	ロンシール工業	
社会資本	新幹線	4316	ビーマップ	
社会資本	新幹線	4615	神東塗料	
社会資本	新幹線	5186	ニッタ	
社会資本	新幹線	5282	ジオスター	
社会資本	新幹線	5530	日本システムバンク	
社会資本	新幹線	5918	瀧上工業	
社会資本	新幹線	6171	土木管理総合試験所	
社会資本	新幹線	6505	東洋電機製造	
社会資本	新幹線	6647	森尾電機	
社会資本	新幹線	6743	大同信号	
社会資本	新幹線	7102	日本車輌製造	
社会資本	新幹線	8104	クワザワホールディングス	
社会資本	新幹線	9003	相鉄ホールディングス	
社会資本	新幹線	9020	東日本旅客鉄道	
社会資本	新幹線	9021	西日本旅客鉄道	
社会資本	新幹線	9022	東海旅客鉄道	
社会資本	新幹線	9142	九州旅客鉄道	
社会資本	新幹線	9651	日本プロセス	
社会資本	新幹線	9678	カナモト	
社会資本	信号	5983	イワブチ	
社会資本	信号	6702	富士通	
社会資本	信号	6741	日本信号	
社会資本	信号	6742	京三製作所	
社会資本	信号	6743	大同信号	
社会資本	信号	6769	ザインエレクトロニクス	
社会資本	信号	6797	名古屋電機工業	
社会資本	信号	6867	リーダー電子	
社会資本	信号	7711	助川電気工業	
社会資本	地震対策	1414	ショーボンドホールディングス	
社会資本	地震対策	1430	ファーストコーポレーション	
社会資本	地震対策	1758	太洋基礎工業	
社会資本	地震対策	1762	高松コンストラクショングループ	
社会資本	地震対策	1768	ソネック	
社会資本	地震対策	1788	三東工業社	
社会資本	地震対策	1793	大本組	
社会資本	地震対策	1810	松井建設	
社会資本	地震対策	1812	鹿島	
社会資本	地震対策	1815	鉄建建設	
社会資本	地震対策	1833	奥村組	
社会資本	地震対策	1835	東鉄工業	
社会資本	地震対策	1844	大盛工業	
社会資本	地震対策	1848	富士ピー・エス	
社会資本	地震対策	1850	南海辰村建設	
社会資本	地震対策	1852	淺沼組	
社会資本	地震対策	1869	名工建設	
社会資本	地震対策	1870	矢作建設工業	
社会資本	地震対策	1892	徳倉建設	
社会資本	地震対策	1905	テノックス	
社会資本	地震対策	1926	ライト工業	
社会資本	地震対策	1950	日本電設工業	
社会資本	地震対策	208A	構造計画研究所ホールディングス	
社会資本	地震対策	2153	E・Jホールディングス	
社会資本	地震対策	2325	NJS	
社会資本	地震対策	256A	飛島ホールディングス	
社会資本	地震対策	3420	ケー・エフ・シー	
社会資本	地震対策	3435	サンコーテクノ	
社会資本	地震対策	353A	エレベーターコミュニケーションズ	
社会資本	地震対策	4212	積水樹脂	
社会資本	地震対策	4642	オリジナル設計	
社会資本	地震対策	4673	川崎地質	
社会資本	地震対策	4956	コニシ	
社会資本	地震対策	5105	TOYO TIRE	
社会資本	地震対策	5199	不二ラテックス	
社会資本	地震対策	5237	ノザワ	
社会資本	地震対策	5268	旭コンクリート工業	
社会資本	地震対策	5273	三谷セキサン	
社会資本	地震対策	5290	ベルテクスコーポレーション	
社会資本	地震対策	5386	鶴弥	
社会資本	地震対策	5391	エーアンドエーマテリアル	
社会資本	地震対策	5602	栗本鐵工所	
社会資本	地震対策	5609	日本鋳造	
社会資本	地震対策	5612	日本鋳鉄管	
社会資本	地震対策	5658	日亜鋼業	
社会資本	地震対策	5805	SWCC	
社会資本	地震対策	5918	瀧上工業	
社会資本	地震対策	5939	大谷工業	
社会資本	地震対策	5940	不二サッシ	
社会資本	地震対策	5958	三洋工業	
社会資本	地震対策	5959	岡部	
社会資本	地震対策	5979	カネソウ	
社会資本	地震対策	5983	イワブチ	
社会資本	地震対策	6072	地盤ネットホールディングス	
社会資本	地震対策	6073	アサンテ	
社会資本	地震対策	6239	ナガオカ	
社会資本	地震対策	6282	オイレス工業	
社会資本	地震対策	6289	技研製作所	
社会資本	地震対策	6424	高見沢サイバネティックス	
社会資本	地震対策	6490	PILLAR	
社会資本	地震対策	6544	ジャパンエレベーターサービスホールディングス	
社会資本	地震対策	6744	能美防災	
社会資本	地震対策	6823	リオン	
社会資本	地震対策	7057	エヌ・シー・エヌ	
社会資本	地震対策	7377	DNホールディングス	
社会資本	地震対策	7722	国際計測器	
社会資本	地震対策	7760	IMV	
社会資本	地震対策	7821	前田工繊	
社会資本	地震対策	7950	日本デコラックス	
社会資本	地震対策	8995	誠建設工業	
社会資本	地震対策	8999	グランディハウス	
社会資本	地震対策	9755	応用地質	
社会資本	地震対策	9765	オオバ	
社会資本	地震対策	9895	コンセック	
社会資本	地盤改良	1447	SAAFホールディングス	
社会資本	地盤改良	1758	太洋基礎工業	
社会資本	地盤改良	1788	三東工業社	
社会資本	地盤改良	1813	不動テトラ	
社会資本	地盤改良	1888	若築建設	
社会資本	地盤改良	1905	テノックス	
社会資本	地盤改良	1914	日本基礎技術	
社会資本	地盤改良	1926	ライト工業	
社会資本	地盤改良	1929	日特建設	
社会資本	地盤改良	5075	アップコン	
社会資本	地盤改良	5233	太平洋セメント	
社会資本	地盤改良	6171	土木管理総合試験所	
社会資本	地盤改良	8007	高島	
社会資本	地盤改良	8046	丸藤シートパイル	
社会資本	上下水道	1716	第一カッター興業	
社会資本	上下水道	1768	ソネック	
社会資本	上下水道	1770	藤田エンジニアリング	
社会資本	上下水道	1788	三東工業社	
社会資本	上下水道	1844	大盛工業	S
社会資本	上下水道	1867	植木組	
社会資本	上下水道	2325	NJS	S
社会資本	上下水道	2498	オリエンタルコンサルタンツホールディングス	
社会資本	上下水道	261A	日水コン	S
社会資本	上下水道	4341	西菱電機	
社会資本	上下水道	4356	応用技術	
社会資本	上下水道	4642	オリジナル設計	
社会資本	上下水道	4673	川崎地質	A
社会資本	上下水道	5076	インフロニア・ホールディングス	
社会資本	上下水道	5262	日本ヒューム	S
社会資本	上下水道	5597	ブルーイノベーション	A
社会資本	上下水道	5602	栗本鐵工所	
社会資本	上下水道	5612	日本鋳鉄管	S
社会資本	上下水道	6144	西部電機	
社会資本	上下水道	6171	土木管理総合試験所	
社会資本	上下水道	6239	ナガオカ	
社会資本	上下水道	6248	横田製作所	
社会資本	上下水道	6322	タクミナ	
社会資本	上下水道	6328	荏原実業	
社会資本	上下水道	6332	月島ホールディングス	
社会資本	上下水道	6351	鶴見製作所	
社会資本	上下水道	6356	日本ギア工業	
社会資本	上下水道	6363	酉島製作所	
社会資本	上下水道	6365	電業社機械製作所	
社会資本	上下水道	6368	オルガノ	
社会資本	上下水道	6403	水道機工	
社会資本	上下水道	6489	前澤工業	S
社会資本	上下水道	6508	明電舎	
社会資本	上下水道	6653	正興電機製作所	
社会資本	上下水道	6822	大井電気	
社会資本	上下水道	7721	東京計器	
社会資本	上下水道	7925	前澤化成工業	
社会資本	上下水道	9233	アジア航測	
社会資本	上下水道	9347	日本管財ホールディングス	
社会資本	上下水道	9537	北陸ガス	
社会資本	上下水道	9551	メタウォーター	A
社会資本	上下水道	9691	両毛システムズ	
社会資本	上下水道	4204	積水化学工業	A
社会資本	上下水道	9763	丸建リース
社会資本	水害対策	1885	東亜建設工業	
社会資本	水害対策	1905	テノックス	
社会資本	水害対策	3023	ラサ商事	
社会資本	水害対策	3302	帝国繊維	
社会資本	水害対策	4356	応用技術	
社会資本	水害対策	4642	オリジナル設計	
社会資本	水害対策	5189	櫻護謨	
社会資本	水害対策	5262	日本ヒューム	
社会資本	水害対策	5268	旭コンクリート工業	
社会資本	水害対策	5279	日本興業	
社会資本	水害対策	5287	イトーヨーギョー	
社会資本	水害対策	5290	ベルテクスコーポレーション	
社会資本	水害対策	6289	技研製作所	
社会資本	水害対策	6306	日工	
社会資本	水害対策	6351	鶴見製作所	
社会資本	水害対策	6776	天昇電気工業	
社会資本	水害対策	9857	英和	
社会資本	水道関連	2325	NJS	A
社会資本	水道関連	3989	シェアリングテクノロジー	
社会資本	水道関連	6173	アクアライン	
社会資本	水道関連	6328	荏原実業	
社会資本	水道関連	6403	水道機工	A
社会資本	水道関連	6484	KVK	
社会資本	水道関連	6508	明電舎	
社会資本	水道関連	7695	交換できるくん	
社会資本	水道関連	7723	愛知時計電機	
社会資本	水道関連	9647	協和コンサルタンツ	
社会資本	セメント	1514	住石ホールディングス	
社会資本	セメント	1515	日鉄鉱業	
社会資本	セメント	1871	ピーエス・コンストラクション	
社会資本	セメント	1964	中外炉工業	
社会資本	セメント	4042	東ソー	
社会資本	セメント	4043	トクヤマ	
